T4M_33_1_slice6.pkl,val_red,6
T4M_33_1_slice7.pkl,val_green,0
T4M_33_1_slice7.pkl,val_red,6
T4M_33_1_slice8.pkl,val_green,0
T4M_33_1_slice8.pkl,val_red,6
T4M_33_1_slice9.pkl,val_green,0
T4M_33_1_slice9.pkl,val_red,6
T6M_16_1_slice0.pkl,val_green,0
T6M_16_1_slice0.pkl,val_red,6
T6M_16_1_slice1.pkl,val_green,0
T6M_16_1_slice1.pkl,val_red,6
T6M_16_1_slice10.pkl,val_green,0
T6M_16_1_slice10.pkl,val_red,6
T6M_16_1_slice11.pkl,val_green,0
T6M_16_1_slice11.pkl,val_red,6
T6M_16_1_slice2.pkl,val_green,0
T6M_16_1_slice2.pkl,val_red,6
T6M_16_1_slice3.pkl,val_green,0
T6M_16_1_slice3.pkl,val_red,6
T6M_16_1_slice4.pkl,val_green,0
T6M_16_1_slice4.pkl,val_red,6
T6M_16_1_slice5.pkl,val_green,0
T6M_16_1_slice5.pkl,val_red,6
T6M_16_1_slice6.pkl,val_green,0
T6M_16_1_slice6.pkl,val_red,6
T6M_16_1_slice7.pkl,val_green,0
T6M_16_1_slice7.pkl,val_red,6
T6M_16_1_slice8.pkl,val_green,0
T6M_16_1_slice8.pkl,val_red,6
T6M_16_1_slice9.pkl,val_green,0
T6M_16_1_slice9.pkl,val_red,6
T6M_29_1_slice0.pkl,val_green,0
T6M_29_1_slice0.pkl,val_red,0
T6M_29_1_slice1.pkl,val_green,0
T6M_29_1_slice1.pkl,val_red,0
T6M_29_1_slice10.pkl,val_green,0
T6M_29_1_slice10.pkl,val_red,0
T6M_29_1_slice11.pkl,val_green,0
T6M_29_1_slice11.pkl,val_red,0
T6M_29_1_slice2.pkl,val_green,0
T6M_29_1_slice2.pkl,val_red,0
T6M_29_1_slice3.pkl,val_green,0
T6M_29_1_slice3.pkl,val_red,0
T6M_29_1_slice4.pkl,val_green,0
T6M_29_1_slice4.pkl,val_red,0
T6M_29_1_slice5.pkl,val_green,0
T6M_29_1_slice5.pkl,val_red,0
T6M_29_1_slice6.pkl,val_green,0
T6M_29_1_slice6.pkl,val_red,0
T6M_29_1_slice7.pkl,val_green,0
T6M_29_1_slice7.pkl,val_red,0
T6M_29_1_slice8.pkl,val_green,0
T6M_29_1_slice8.pkl,val_red,0
T6M_29_1_slice9.pkl,val_green,0
T6M_29_1_slice9.pkl,val_red,0
T6M_30_1_slice0.pkl,val_green,2
T6M_30_1_slice0.pkl,val_red,6
T6M_30_1_slice1.pkl,val_green,2
T6M_30_1_slice1.pkl,val_red,6
T6M_30_1_slice10.pkl,val_green,2
T6M_30_1_slice10.pkl,val_red,6
T6M_30_1_slice11.pkl,val_green,2
T6M_30_1_slice11.pkl,val_red,6
T6M_30_1_slice2.pkl,val_green,2
T6M_30_1_slice2.pkl,val_red,6
T6M_30_1_slice3.pkl,val_green,2
T6M_30_1_slice3.pkl,val_red,6
T6M_30_1_slice4.pkl,val_green,2
T6M_30_1_slice4.pkl,val_red,6
T6M_30_1_slice5.pkl,val_green,2
T6M_30_1_slice5.pkl,val_red,6
T6M_30_1_slice6.pkl,val_green,2
T6M_30_1_slice6.pkl,val_red,6
T6M_30_1_slice7.pkl,val_green,2
T6M_30_1_slice7.pkl,val_red,6
T6M_30_1_slice8.pkl,val_green,2
T6M_30_1_slice8.pkl,val_red,6
T6M_30_1_slice9.pkl,val_green,2
T6M_30_1_slice9.pkl,val_red,2
T6M_30_2_slice0.pkl,val_green,0
T6M_30_2_slice0.pkl,val_red,6
T6M_30_2_slice1.pkl,val_green,0
T6M_30_2_slice1.pkl,val_red,0
T6M_30_2_slice10.pkl,val_green,0
T6M_30_2_slice10.pkl,val_red,6
T6M_30_2_slice11.pkl,val_green,0
T6M_30_2_slice11.pkl,val_red,6
T6M_30_2_slice2.pkl,val_green,0
T6M_30_2_slice2.pkl,val_red,6
T6M_30_2_slice3.pkl,val_green,0
T6M_30_2_slice3.pkl,val_red,6
T6M_30_2_slice4.pkl,val_green,0
T6M_30_2_slice4.pkl,val_red,0
T6M_30_2_slice5.pkl,val_green,0
T6M_30_2_slice5.pkl,val_red,0
T6M_30_2_slice6.pkl,val_green,0
T6M_30_2_slice6.pkl,val_red,6
T6M_30_2_slice7.pkl,val_green,0
T6M_30_2_slice7.pkl,val_red,6
T6M_30_2_slice8.pkl,val_green,0
T6M_30_2_slice8.pkl,val_red,6
T6M_30_2_slice9.pkl,val_green,0
T6M_30_2_slice9.pkl,val_red,6
